9:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       3686051      722395424  [B (java.base@21.0.6)
   2:       1344086      705785568  [F (java.base@21.0.6)
   3:        567486      146577072  [Ljava.lang.Object; (java.base@21.0.6)
   4:       1015063      121807560  com.aerospike.vector.index.hnsw.GraphVertex
   5:       1344075       96773400  com.github.benmanes.caffeine.cache.PSWMS
   6:       1344081       64515888  com.aerospike.vector.client.proto.Vector
   7:       1344080       64515840  com.aerospike.vector.client.proto.FloatData
   8:       1394067       55762680  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
   9:       1344080       43010560  com.google.protobuf.FloatArrayList
  10:       1228235       39303520  java.lang.String (java.base@21.0.6)
  11:         75567       37068744  [J (java.base@21.0.6)
  12:        377864       33252032  java.util.LinkedHashMap (java.base@21.0.6)
  13:       1015063       32482016  com.aerospike.vector.common.HashableByteArray
  14:           514       26284240  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
  15:         23489       24428024  [Lio.netty.handler.codec.http2.HpackHeaderField;
  16:        349231       19556936  java.util.LinkedHashMap$Entry (java.base@21.0.6)
  17:        128141       16067968  [I (java.base@21.0.6)
  18:        329015       15792720  com.aerospike.client.Key
  19:        366318       15240336  [Ljava.util.HashMap$Node; (java.base@21.0.6)
  20:        329011       13160440  com.aerospike.vector.storage.StorageRecord
  21:        329011       10528352  com.aerospike.vector.storage.AerospikeStorageRecordId
  22:        329344        7904256  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.6)
  23:        329011        7896264  com.aerospike.client.Value$LongValue
  24:         23471        6196344  io.grpc.netty.NettyClientHandler
  25:         74133        5930576  [S (java.base@21.0.6)
  26:        175168        5605376  java.util.ArrayList (java.base@21.0.6)
  27:         10857        5385072  io.grpc.internal.ManagedChannelImpl
  28:         23510        5266240  io.netty.channel.epoll.EpollSocketChannel
  29:         47064        5083096  [Lio.netty.util.internal.PriorityQueueNode;
  30:         23471        5069736  io.grpc.netty.NettyClientTransport
  31:         46984        4134592  io.netty.channel.DefaultChannelHandlerContext
  32:         69195        3874920  java.util.IdentityHashMap (java.base@21.0.6)
  33:         44865        3589200  java.lang.StackTraceElement (java.base@21.0.6)
  34:         47128        3393216  io.netty.util.collection.IntObjectHashMap
  35:         23488        3388800  [Lio.netty.handler.codec.http2.HpackEncoder$NameEntry;
  36:         23488        3388800  [Lio.netty.handler.codec.http2.HpackEncoder$NameValueEntry;
  37:         46976        3382272  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultEndpoint
  38:         94826        3034432  java.util.ArrayDeque (java.base@21.0.6)
  39:         15230        2959320  java.lang.Class (java.base@21.0.6)
  40:         46000        2944000  java.util.HashMap (java.base@21.0.6)
  41:         89744        2871808  java.util.concurrent.atomic.LongAdder (java.base@21.0.6)
