9:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        577675      107099088  [Ljava.lang.Object; (java.base@21.0.6)
   2:        343253       25183192  [B (java.base@21.0.6)
   3:         24024       24984424  [Lio.netty.handler.codec.http2.HpackHeaderField;
   4:         77094       20703064  [J (java.base@21.0.6)
   5:        130783       16346208  [I (java.base@21.0.6)
   6:        243202        7782464  java.lang.String (java.base@21.0.6)
   7:         24006        6337584  io.grpc.netty.NettyClientHandler
   8:         75710        6056672  [S (java.base@21.0.6)
   9:        177145        5668640  java.util.ArrayList (java.base@21.0.6)
  10:         10905        5408880  io.grpc.internal.ManagedChannelImpl
  11:         24045        5386080  io.netty.channel.epoll.EpollSocketChannel
  12:         48134        5199072  [Lio.netty.util.internal.PriorityQueueNode;
  13:         24006        5185296  io.grpc.netty.NettyClientTransport
  14:         37453        4730288  [Ljava.util.HashMap$Node; (java.base@21.0.6)
  15:         49497        4355736  java.util.LinkedHashMap (java.base@21.0.6)
  16:         48058        4229104  io.netty.channel.DefaultChannelHandlerContext
  17:         70414        3943184  java.util.IdentityHashMap (java.base@21.0.6)
  18:         44697        3575760  java.lang.StackTraceElement (java.base@21.0.6)
  19:         48198        3470256  io.netty.util.collection.IntObjectHashMap
  20:         24023        3465840  [Lio.netty.handler.codec.http2.HpackEncoder$NameEntry;
  21:         24023        3465840  [Lio.netty.handler.codec.http2.HpackEncoder$NameValueEntry;
  22:         48046        3459312  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultEndpoint
  23:         96907        3101024  java.util.ArrayDeque (java.base@21.0.6)
  24:         15480        3005224  java.lang.Class (java.base@21.0.6)
  25:         46196        2956544  java.util.HashMap (java.base@21.0.6)
  26:         90889        2908448  java.util.concurrent.atomic.LongAdder (java.base@21.0.6)
  27:        120115        2882760  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultPropertyKey
  28:         24023        2690576  io.grpc.internal.TransportTracer
  29:         67097        2683880  java.util.HashMap$Node (java.base@21.0.6)
  30:         65911        2636440  java.net.InetAddress$InetAddressHolder (java.base@21.0.6)
  31:         11206        2599792  io.grpc.internal.InternalSubchannel
  32:         24193        2516072  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor$State
  33:         24069        2310624  io.netty.channel.DefaultChannelPipeline$HeadContext
  34:         57067        2282680  io.grpc.InternalLogId
  35:         68464        2190848  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.6)
  36:         90362        2168688  io.grpc.internal.ReflectionLongAdderCounter
  37:         24069        2118072  io.netty.channel.ChannelOutboundBuffer
  38:         24069        2118072  io.netty.channel.DefaultChannelPipeline$TailContext
  39:         24023        2114024  io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder
  40:         24023        2114024  io.netty.handler.codec.http2.HpackEncoder
  41:         49981        1999240  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
  42:         49861        1994440  io.netty.util.AsciiString
  43:         24092        1927360  java.util.TreeMap (java.base@21.0.6)
  44:         24069        1925520  io.netty.channel.DefaultChannelPipeline
  45:         24045        1923600  io.netty.channel.epoll.EpollSocketChannel$EpollSocketChannelUnsafe
  46:         24045        1923600  io.netty.channel.epoll.EpollSocketChannelConfig
  47:         24023        1921840  io.netty.handler.codec.http2.DefaultHttp2Connection
  48:         24006        1920480  io.grpc.internal.CallCredentialsApplyingTransportFactory$CallCredentialsApplyingTransport
  49:         24023        1729656  io.grpc.netty.AbstractNettyHandler$FlowControlPinger
  50:         24023        1729656  io.netty.handler.codec.http2.Http2Settings
  51:         23989        1727208  io.grpc.StatusException
  52:         10984        1581696  java.net.URI (java.base@21.0.6)
  53:         48303        1545696  io.netty.util.internal.DefaultPriorityQueue
  54:         24069        1540416  io.netty.channel.AbstractChannel$CloseFuture
  55:         48138        1540416  io.netty.channel.VoidChannelPromise
  56:         24023        1537472  io.netty.handler.codec.http2.DefaultHttp2Connection$ConnectionStream
  57:         24023        1537472  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController$AutoRefillState
  58:         24023        1537472  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController
  59:         24023        1537472  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor
  60:         46554        1489728  java.util.Collections$SetFromMap (java.base@21.0.6)
  61:         11838        1420560  java.lang.reflect.Constructor (java.base@21.0.6)
  62:         43891        1404512  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@21.0.6)
  63:         43889        1404448  java.net.Inet4Address (java.base@21.0.6)
  64:         43702        1398464  io.grpc.EquivalentAddressGroup
  65:         24686        1382416  io.netty.handler.codec.http2.HpackEncoder$NameValueEntry
  66:         24023        1345288  io.netty.handler.codec.http2.DefaultHttp2ConnectionEncoder
  67:         24023        1345288  io.netty.handler.codec.http2.DefaultHttp2FrameReader
  68:         24023        1345288  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController
  69:         24023        1345288  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$FlowState
  70:         24023        1345288  io.netty.handler.codec.http2.HpackDecoder
  71:         24006        1344336  io.netty.handler.codec.http2.StreamBufferingEncoder
  72:         23989        1343384  java.nio.channels.UnresolvedAddressException (java.base@21.0.6)
  73:         41548        1329536  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@21.0.6)
  74:         10905        1308600  io.grpc.netty.NettyChannelBuilder$NettyTransportFactory
  75:         24426        1296656  [C (java.base@21.0.6)
  76:         22113        1238328  io.grpc.internal.CallTracer
  77:         76676        1226816  java.lang.Object (java.base@21.0.6)
  78:         48426        1162224  java.lang.Long (java.base@21.0.6)
  79:         48198        1156752  io.netty.util.collection.IntObjectHashMap$1
  80:         48198        1156752  io.netty.util.collection.IntObjectHashMap$EntrySet
  81:         48198        1156752  io.netty.util.collection.IntObjectHashMap$KeySet
  82:         24023        1153104  io.grpc.netty.WriteQueue
  83:         24023        1153104  io.netty.handler.codec.http2.DefaultHttp2Connection$ActiveStreams
  84:         24023        1153104  io.netty.handler.codec.http2.HpackDynamicTable
  85:         24023        1153104  io.netty.handler.codec.http2.HpackHuffmanEncoder
  86:         23989        1151472  io.grpc.netty.ProtocolNegotiators$WaitUntilActiveHandler
  87:         20373        1140888  java.util.LinkedHashMap$Entry (java.base@21.0.6)
  88:         46963        1127112  java.util.LinkedHashSet (java.base@21.0.6)
