10:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        921542       96412216  [B (java.base@21.0.6)
   2:        134810       71175912  [F (java.base@21.0.6)
   3:         41896       45461024  [Ljava.lang.Object; (java.base@21.0.6)
   4:           518       17633936  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.6)
   5:         88212       10585440  com.aerospike.vector.index.hnsw.GraphVertex
   6:        310421        9933472  java.lang.String (java.base@21.0.6)
   7:        259013        8288416  com.aerospike.vector.common.HashableByteArray
   8:        118431        6632136  java.util.LinkedHashMap$Entry (java.base@21.0.6)
   9:        134806        6470688  com.aerospike.vector.client.proto.Vector
  10:        134805        6470640  com.aerospike.vector.client.proto.FloatData
  11:         78959        5685048  com.github.benmanes.caffeine.cache.PSWMS
  12:        129496        5179840  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.6)
  13:         50717        4463096  java.util.LinkedHashMap (java.base@21.0.6)
  14:        134805        4313760  com.google.protobuf.FloatArrayList
  15:         15491        3007064  java.lang.Class (java.base@21.0.6)
  16:         51704        2993968  [Ljava.util.HashMap$Node; (java.base@21.0.6)
  17:         49715        2386320  com.aerospike.client.Key
  18:         46719        1868760  com.aerospike.vector.storage.StorageRecord
  19:          6947        1861400  [I (java.base@21.0.6)
  20:         40005        1600200  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.6)
  21:         47044        1505408  com.aerospike.vector.storage.AerospikeStorageRecordId
  22:         40032         960768  com.aerospike.client.Value$LongValue
  23:         25036         801152  java.util.ArrayList (java.base@21.0.6)
  24:          5542         798048  java.lang.reflect.Method (java.base@21.0.6)
  25:         12288         589824  com.aerospike.client.query.PartitionStatus
  26:         12564         502560  java.util.HashMap$Node (java.base@21.0.6)
  27:          1260         486976  [J (java.base@21.0.6)
  28:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
  29:         22003         352048  java.lang.Object (java.base@21.0.6)
  30:         13907         333768  java.lang.Long (java.base@21.0.6)
  31:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
  32:          4683         299712  java.lang.invoke.MemberName (java.base@21.0.6)
  33:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
  34:           245         254264  [Lio.netty.handler.codec.http2.HpackHeaderField;
  35:          3214         205696  java.lang.invoke.MethodType (java.base@21.0.6)
  36:          3364         188384  java.lang.ref.SoftReference (java.base@21.0.6)
  37:          5225         183280  [Ljava.lang.Class; (java.base@21.0.6)
  38:          2798         179072  java.util.HashMap (java.base@21.0.6)
  39:           647         160776  [C (java.base@21.0.6)
  40:          1653         158688  io.netty.buffer.PoolSubpage
  41:          3286         157728  jdk.internal.util.WeakReferenceKey (java.base@21.0.6)
  42:          1732         148904  [Ljava.lang.String; (java.base@21.0.6)
  43:          3578         143120  io.netty.util.AsciiString
  44:          8681         138896  java.lang.Integer (java.base@21.0.6)
  45:          2092         133888  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.6)
  46:          2079         133056  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  47:          2585         124080  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
  48:           914         120648  [Ljava.lang.ref.SoftReference; (java.base@21.0.6)
  49:           979         117480  java.lang.reflect.Constructor (java.base@21.0.6)
  50:            10         117360  [Ljava.util.Hashtable$Entry; (java.base@21.0.6)
