LAST SEEN   TYPE      REASON                            OBJECT                                  MESSAGE
60m         Warning   FailedScheduling                  pod/avs-app-aerospike-vector-search-1   0/5 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/memory-pressure: }, 2 node(s) didn't have free ports for the requested pod ports, 2 node(s) didn't match Pod's node affinity/selector. preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
55m         Normal    Scheduled                         pod/avs-app-aerospike-vector-search-1   Successfully assigned avs/avs-app-aerospike-vector-search-1 to gke-ahevenor-myntra3-avs-index-pool-c2231d80-88xz
2m49s       Warning   FailedScheduling                  pod/avs-app-aerospike-vector-search-1   0/5 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/memory-pressure: }, 2 node(s) didn't have free ports for the requested pod ports, 2 node(s) didn't match Pod's node affinity/selector. preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
34m         Normal    Scheduled                         pod/avs-app-aerospike-vector-search-1   Successfully assigned avs/avs-app-aerospike-vector-search-1 to gke-ahevenor-myntra3-avs-index-pool-c2231d80-88xz
2m51s       Normal    Scheduled                         pod/avs-app-aerospike-vector-search-1   Successfully assigned avs/avs-app-aerospike-vector-search-1 to gke-ahevenor-myntra3-avs-index-pool-c2231d80-88xz
39m         Warning   FailedScheduling                  pod/avs-app-aerospike-vector-search-1   0/5 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/memory-pressure: }, 2 node(s) didn't have free ports for the requested pod ports, 2 node(s) didn't match Pod's node affinity/selector. preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
2m51s       Normal    Scheduled                         pod/avs-app-aerospike-vector-search-1   Successfully assigned avs/avs-app-aerospike-vector-search-1 to gke-ahevenor-myntra3-avs-index-pool-c2231d80-88xz
2m50s       Normal    Scheduled                         pod/avs-app-aerospike-vector-search-1   Successfully assigned avs/avs-app-aerospike-vector-search-1 to gke-ahevenor-myntra3-avs-index-pool-c2231d80-88xz
2m50s       Normal    Scheduled                         pod/avs-app-aerospike-vector-search-1   Successfully assigned avs/avs-app-aerospike-vector-search-1 to gke-ahevenor-myntra3-avs-index-pool-c2231d80-88xz
55m         Normal    NotTriggerScaleUp                 pod/avs-app-aerospike-vector-search-1   pod didn't trigger scale-up:
55m         Normal    Pulling                           pod/avs-app-aerospike-vector-search-1   Pulling image "artifact.aerospike.io/container/avs-init-container:1.2.0"
55m         Normal    Started                           pod/avs-app-aerospike-vector-search-1   Started container config-injector
55m         Normal    Created                           pod/avs-app-aerospike-vector-search-1   Created container: config-injector
55m         Normal    Pulled                            pod/avs-app-aerospike-vector-search-1   Successfully pulled image "artifact.aerospike.io/container/avs-init-container:1.2.0" in 525ms (525ms including waiting). Image size: 22509115 bytes.
46m         Warning   Unhealthy                         pod/avs-app-aerospike-vector-search-1   Readiness probe failed: Get "http://10.128.0.71:5040/manage/rest/v1": dial tcp 10.128.0.71:5040: connect: connection refused
